rank,barrio,plantas,anio,altura_m,uso,riesgo,tiempo_llegada_min,parque_cercano,ref,lon,lat
23,CAMI REAL,16,2003,48,1_residential,47.8,6.0,Parque Central de Bomberos,4889401YJ2648H,-0.38873,39.43903
24,EN CORTS,10,2009,30,1_residential,47.7,2.1,Parque Central de Bomberos,6409064YJ2760G,-0.37137,39.4564
25,LA GRAN VIA,10,2002,30,1_residential,47.4,2.9,Parque Central de Bomberos,6920601YJ2762B,-0.36301,39.46633
26,CABANYAL-CANYAMELAR,10,2003,30,1_residential,46.7,5.2,Parque de Bomberos Norte,9319906YJ2791G,-0.33513,39.46544
27,MONTOLIVET,10,2003,30,1_residential,46.5,2.0,Parque Central de Bomberos,6513033YJ2761C,-0.36894,39.45943
28,BENIMACLET,10,2001,30,1_residential,46.4,3.2,Parque de Bomberos Norte,6544619YJ2764D,-0.36739,39.48754
29,JAUME ROIG,10,2007,30,1_residential,46.1,2.1,Parque de Bomberos Norte,6938304YJ2773G,-0.36173,39.48279
30,SANT ISIDRE,10,2006,30,1_residential,45.5,3.9,Parque de Bomberos Oeste,3503310YJ2730D,-0.40284,39.45128
31,LA ROQUETA,10,2006,30,1_residential,45.3,3.0,Parque de Bomberos Centro Histórico,5520313YJ2752B,-0.37867,39.46769
32,FAITANAR,17,2010,51,1_residential,44.8,7.2,Parque de Bomberos Oeste,4083602YJ2648C,-0.39777,39.43341
33,MORVEDRE,10,2004,30,1_residential,44.7,2.6,Parque de Bomberos Centro Histórico,5741309YJ2754B,-0.37631,39.48566
34,RUSSAFA,10,2000,30,1_residential,44.6,2.8,Parque Central de Bomberos,5910214YJ2751B,-0.37535,39.45808
35,BENIMACLET,10,2009,30,1_residential,44.6,3.1,Parque de Bomberos Norte,6543409YJ2764D,-0.3668,39.4871
36,BENICALAP,11,2008,33,1_residential,44.1,3.6,Parque de Bomberos Campanar,4645836YJ2744F,-0.38976,39.48918
37,MORVEDRE,10,2005,30,1_residential,44.1,2.3,Parque de Bomberos Centro Histórico,5640701YJ2754B,-0.37849,39.48472
38,BENICALAP,15,2007,45,4_2_retail,43.4,3.1,Parque de Bomberos Campanar,3551701YJ2735B,-0.401,39.49453
39,FAITANAR,14,2011,42,1_residential,43.3,7.1,Parque de Bomberos Oeste,4083601YJ2648C,-0.39831,39.43358
40,FAITANAR,15,2013,45,1_residential,43.2,7.0,Parque de Bomberos Oeste,4083301YJ2648C,-0.39836,39.43406
41,FAITANAR,21,2011,63,1_residential,43.1,7.7,Parque Central de Bomberos,4479103YJ2647G,-0.39338,39.43008
