localId,anio_construccion,anio_ultima_reforma,uso
000403900YJ26F,1930,1930,1_residential
000403900YJ26H,1963,1963,1_residential
000404000YJ26H,1946,1946,1_residential
000404100YJ26H,2000,2000,1_residential
000404300YJ26H,1942,1942,1_residential
000404400YJ26H,1942,1942,1_residential
000404500YJ26H,1942,1942,1_residential
000404600YJ26H,1942,1942,1_residential
000404700YJ26H,1942,1942,1_residential
000404900YJ26H,1942,1942,1_residential
000405000YJ26H,1942,1942,1_residential
000405100YJ26H,1942,1942,1_residential
000405200YJ26H,1942,1942,1_residential
000405300YJ26H,1942,1942,1_residential
000405500YJ26H,,,
000405600YJ26H,1942,1942,1_residential
000405700YJ26H,1941,1941,1_residential
000405800YJ26H,1925,1925,3_industrial
000405900YJ26H,1925,1925,3_industrial
000406000YJ26H,1995,1995,3_industrial
000406200YJ26H,1920,1920,1_residential
000406300YJ26H,1942,1942,1_residential
000406400YJ26H,1935,1935,1_residential
000406500YJ26H,1957,1957,1_residential
000406600YJ26H,1926,1926,3_industrial
000406700YJ26H,1928,1995,1_residential
000406800YJ26H,1929,1929,1_residential
000406900YJ26H,1921,1921,3_industrial
000407100YJ26H,1920,1920,1_residential
000407200YJ26H,1924,1924,1_residential
000407300YJ26H,1934,1934,1_residential
000407500YJ26H,1916,1916,3_industrial
000407600YJ26H,1956,1956,3_industrial
000407700YJ26H,1942,1942,1_residential
000407800YJ26H,1942,1942,3_industrial
000407900YJ26H,1932,1932,3_industrial
000408000YJ26H,1905,1905,3_industrial
000408100YJ26H,1910,1910,1_residential
000408200YJ26H,1942,1942,1_residential
000408400YJ26H,1920,1920,1_residential
000408500YJ26H,1948,1948,1_residential
000408600YJ26H,1922,1922,1_residential
000408700YJ26H,1920,1920,1_residential
000408800YJ26H,1925,1925,1_residential
000409000YJ26H,1920,2008,1_residential
000409100YJ26H,1918,2000,1_residential
000409200YJ26H,1932,1932,1_residential
000409300YJ26H,1970,1970,1_residential
000409400YJ26H,1949,1949,1_residential
000409600YJ26H,1946,1946,1_residential
000409700YJ26H,1945,1945,1_residential
000409800YJ26H,1915,1915,1_residential
000409900YJ26H,1920,1920,1_residential
000410000YJ26H,1920,1920,1_residential
000410100YJ26H,1943,1943,1_residential
000410200YJ26H,1943,1943,1_residential
000410300YJ26H,1943,1943,1_residential
000410400YJ26H,1931,1931,1_residential
000410500YJ26H,1926,1926,1_residential
000410600YJ26H,1932,1932,1_residential
000410800YJ26H,1920,1990,1_residential
000410900YJ26H,1925,1925,1_residential
000411100YJ26H,1922,1922,1_residential
000411200YJ26H,1928,1928,1_residential
000411400YJ26H,1942,2008,1_residential
000411600YJ26H,1942,1942,1_residential
000411700YJ26H,1920,2006,1_residential
000411800YJ26H,1942,1942,1_residential
000411900YJ26H,1920,1920,3_industrial
000412000YJ26H,1947,1947,3_industrial
000412100YJ26H,1945,1945,1_residential
000412200YJ26H,1920,1920,1_residential
000412300YJ26H,1920,1920,1_residential
000412400YJ26H,1920,1920,1_residential
000412500YJ26H,1970,1989,4_1_office
000412600YJ26H,1922,1922,3_industrial
000412800YJ26H,1920,1920,1_residential
000412900YJ26H,1920,1995,1_residential
000413000YJ26H,1920,1920,1_residential
000413200YJ26H,1965,1965,3_industrial
000413300YJ26H,1965,1965,3_industrial
000500100YJ26F,1971,1971,1_residential
000500100YJ26H,1954,1954,3_industrial
000500100YJ27E,1900,1900,1_residential
000500100YJ27H,1880,1880,1_residential
000500100YJ35A,1972,1972,1_residential
000500200YJ26D,1984,1984,1_residential
000500200YJ26H,1946,1999,1_residential
000500200YJ27E,1994,1994,1_residential
000500200YJ35A,1975,1985,1_residential
000500300YJ26D,1900,1985,1_residential
000500300YJ26F,1940,1940,1_residential
000500300YJ26H,1947,1947,1_residential
000500300YJ27E,1967,1967,1_residential
000500300YJ35A,1960,1960,1_residential
000500400YJ26F,1986,1986,1_residential
000500400YJ26H,1915,1915,3_industrial
000500400YJ27E,1900,1996,3_industrial
000500400YJ35A,1955,1975,3_industrial
